#SUBENT      M0643002
#AUTHORS     B.S.Ishkhanov, I.M.Kapitonov, E.V.Lazutin, I.M.Piskarev, 
#+           O.P.Shevchenko
#REFERENCE   Yadernaya Fizika Vol.20, p.433
#YEAR        1974
#TITLE       Photoneutron cross sections for 64Zn and 68Zn in  the
#+           Giant Dipole Resonance region.
#REACTION    30-ZN-64(G,X)0-NN-1,,SIG,,BRS
#QUANTITY    Cross section
#SUBP       M0643002 
:Yadernaya Fizika Vol.20, p.433
#Ene,MeV     Sig,mb      dSig,mb
 23.45       38.81       7.28
 23.5        44.17       6.52
 23.55       45.51       6.71
 23.6        48.07       6.97
 23.65       46.09       6.65
 23.7        47.3        6.07
 23.75       47.55       6.2
 23.8        47.48       7.03
 23.85       47.55       6.97
 23.9        47.74       6.77
 23.95       46.39       6.58
 24          44.03       6.84
 24.05       46.91       8.45
 24.1        51.09       8.81
 24.15       56.07       8.8
 24.2        58.65       8.38
 24.25       56.11       9.5
 24.3        56.1        9.71
 24.35       57.66       8.94
 24.4        59.75       8.94
 24.45       57.45       9.78
 24.5        57.25       8.24
 24.55       58.65       7.69
 24.6        57.45       8.52
 24.65       57.23       8.66
 24.7        59.51       9.36
 24.75       57.45       8.94
 24.8        57.31       8.73
 24.85       56.4        8.8
 24.9        57.51       9.78
 24.95       53.38       9.29
 25          51.1        9.29
 25.05       46.51       9.57
 25.1        46.23       8.38
 25.15       47.44       7.6
 25.2        47.91       7.9
 25.25       46.53       7.7
 25.3        38.8        7.7
 25.35       40.67       7.2
 25.4        35.71       6.81
 25.45       32.64       6.91
 25.5        30.48       6.71
 25.55       26.92       6.51
 25.6        24.15       6.71
 25.65       21.77       8.29
 25.7        19.18       7.11
 25.75       20.94       6.71
 25.8        28.75       8
 25.85       29.52       8
 25.9        23.48       6.61
 25.95       22.58       7.01
 26          23.85       7.7
 26.05       25.71       7.2
 26.1        29.36       6.91
 26.15       26.38       6.71
 26.2        25.29       6.42
 26.25       27.75       6.91
 26.3        29.02       7.21
 26.35       21.21       6.91
 26.4        25.74       6.91
 26.45       30.08       7.3
 26.5        34.31       7.4
 26.55       33.8        7.3
 26.6        34.19       8.09
 26.65       37.04       7.21
 26.7        40.75       7.2
 26.75       40.68       6.71
 26.8        32.37       7.5
 26.85       29.31       8.39
 26.9        30.2        8.88
 26.95       31.46       8.59
 27          29.97       6.51
 27.15       26.21       7.11
 27.2        23.83       8.29
#END
