6.775       17          4
 7.394       23          6
 7.704       22          7
 7.859       42          6
 8.168       25          5
 8.478       21          5
 8.788       25          6
 9.097       22          4
 9.252       50          8
 9.407       40          4
 9.562       71          10
 9.717       38          4
 9.872       96          7
 10.026      107         5
 10.181      115         10
 10.336      102         5
 10.491      122         8
 10.646      107         7
 10.801      152         9
 10.956      150         7
 11.11       184         9
 11.265      188         8
 11.42       225         10
 11.575      235         16
 11.73       262         11
 11.885      250         13
 12.039      298         12
 12.194      298         14
 12.349      342         12
 12.504      361         11
 12.659      401         12
 12.814      386         12
 12.969      417         13
 13.123      445         13
 13.278      431         14
 13.433      481         15
 13.588      483         15
 13.743      500         15
 13.898      485         16
 14.053      464         16
 14.207      474         17
 14.362      474         19
 14.517      402         15
 14.672      406         16.6
 14.827      370         17
 14.982      348         11.4
 15.136      342         10.8
 15.291      325         18
 15.446      313         15
 15.601      284         21.3
 15.756      276         15.6
 15.911      267         13.5
 16.066      258         16.3
 16.22       262         12
 16.375      233         16.3
 16.53       228         13.5
 16.685      218         17.7
 16.84       205         13.5
 16.995      202         19.1
 17.15       171         19.1
 17.304      200         20.5
 17.459      171         18.4
 17.614      151         17.7
 17.769      155         17.7
 17.924      153         17.7
 18.079      172         18.4
 18.233      174         19.1
 18.388      138         17.7
 18.543      146         18.4
 18.698      126         20.5
 19.008      127         19.8
 19.317      142         14.9
 19.627      141         21.3
 19.937      146         21.9
 20.247      125         21.9
 20.556      87          21.3
 20.866      101         22
 21.176      121         23.3
 21.485      82          24.1
 21.795      94          24.8
 22.105      91          24.8
 22.414      68          26.2
 22.724      89          28.3
 23.034      74          26.9
 23.344      61          19.8
 23.727      40          19.8
 24.037      48          25.6
 24.347      30          26.9
 24.582      84          27
 24.892      72          27.7
 25.202      147         28.8
 25.511      163         34.7
 25.821      77          32.6
 26.131      108         30.5
 26.441      105         30.4
